senator,party,ticker,gics_sector,transaction_date,excess_ret_90,cate,cate_lb,cate_ub
John Hoeven,Republican,CAT,Industrials,2015-03-03,-0.0001568320446793,0.018942691898552303,-0.01052764009852782,0.048413023895632415
Pat Roberts,Republican,BABA,Other,2015-03-04,-0.042496851718788,-0.0044645547577347455,-0.04115954666771567,0.032230437152246175
"David A Perdue , Jr",Republican,KN,Other,2015-03-06,-0.0299610627706441,-0.019458346882657834,-0.06924303659897132,0.03032634283365565
Pat Roberts,Republican,SBUX,Consumer Discretionary,2015-03-06,0.2039742629209386,-0.005940102756583803,-0.03358273110015575,0.021702525586988146
Pat Roberts,Republican,COST,Consumer Staples,2015-03-06,-0.0369114725484376,-0.0002486793168237718,-0.029498741285193617,0.029001382651546063
Pat Roberts,Republican,ETY,Other,2015-03-06,0.0385044639285938,-0.019458346882657834,-0.06924303659897132,0.03032634283365565
"David A Perdue , Jr",Republican,KN,Other,2015-03-09,-0.066242986383697,-0.005858922916358406,-0.036621488928931925,0.024903643096215105
Sheldon Whitehouse,Democrat,AMGN,Health Care,2015-03-10,0.0682990009737225,-0.00866762634885094,-0.04407220975900851,0.026736957061306636
"David A Perdue , Jr",Republican,KN,Other,2015-03-10,-0.0716456577367345,-0.009931626888305664,-0.053527992546171355,0.03366473876956001
Sheldon Whitehouse,Democrat,PEP,Consumer Staples,2015-03-10,0.0324070848297053,-0.005572561051529816,-0.04645892540290684,0.03531380329984719
"David A Perdue , Jr",Republican,KN,Other,2015-03-11,-0.0904047838477889,-0.009661488477302289,-0.055123748340885195,0.03580077138628061
Pat Roberts,Republican,ETY,Other,2015-03-13,0.0551765910626791,-0.005930245770035644,-0.04730825976309153,0.035447768223020225
Pat Roberts,Republican,ETY,Other,2015-03-13,0.0551765910626791,-0.007975253358083495,-0.037393793765147475,0.02144328704898049
Thomas R Carper,Democrat,DD,Materials,2015-03-13,0.0807580876924436,-0.004270772450208461,-0.0325201871733475,0.023978642272930575
Pat Roberts,Republican,ETY,Other,2015-03-13,0.0551765910626791,-0.00965792596002235,-0.0493774257335716,0.030061573813526893
Pat Roberts,Republican,DVN,Energy,2015-03-16,-0.1260107572179096,6.85725070032375e-05,-0.03374383364319276,0.033880978657199225
Pat Roberts,Republican,CVX,Energy,2015-03-16,-0.0899344561965216,6.85725070032375e-05,-0.03374383364319276,0.033880978657199225
Pat Roberts,Republican,AAPL,Information Technology,2015-03-17,-0.0160715387451501,-0.0007169839031917665,-0.0393766332255696,0.03794266541918607
Pat Roberts,Republican,BA,Industrials,2015-03-17,-0.0618299729730357,0.012545184197694608,-0.03714123974462693,0.06223160814001611
Pat Roberts,Republican,BA,Industrials,2015-03-17,-0.0618299729730357,0.012545184197694608,-0.03714123974462693,0.06223160814001611
"David A Perdue , Jr",Republican,KN,Other,2015-03-20,-0.0740477106398165,0.016896231529991784,-0.01828705331656822,0.05207951637655177
Susan M Collins,Republican,HSY,Consumer Staples,2015-03-20,-0.0888202682471289,0.02176281905975458,-0.015468421402260166,0.05899405952176932
John Hoeven,Republican,MDU,Other,2015-03-20,-0.1321229210225635,0.01608566831984868,-0.007098726569757716,0.03927006320945507
Pat Roberts,Republican,AAPL,Information Technology,2015-03-25,-0.0360932980356766,0.01927633600567028,-0.03182431543328211,0.07037698744462265
