party,horizon_days,alpha,alpha_se,alpha_t,alpha_p,beta,beta_se,n
Republican,30,-0.007608972294535953,0.0021523365671232966,-3.535214896574339,0.00040744365822875997,1.244866940108734,0.04805901702149821,3473
Republican,90,-0.004133530796504907,0.003550889221100979,-1.1640832870655637,0.24439026092774607,1.095047330807579,0.03843681258899228,3462
Republican,180,-0.005355734787920447,0.005830124704205125,-0.9186312574167561,0.35828847691594456,1.2441173991188246,0.04891729083387208,3444
Democrat,30,0.005400167620207017,0.004241187883793977,1.2732677184242704,0.20292305775745523,1.268201597840025,0.10421884782277802,974
Democrat,90,-0.01133924864258454,0.007758811375871838,-1.4614672394082242,0.14388725975500885,1.3440899002640017,0.08960189994166914,972
Democrat,180,-0.009756993182761874,0.01610176736456504,-0.6059579027476181,0.5445427079297425,1.3836462866420047,0.09789130528019262,972
