transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,amount_low_usd,amount_high_usd,amount_mid_usd,party,ret_30,bench_ret_30,rf_30,excess_ret_30,bench_excess_30,ret_90,bench_ret_90,rf_90,excess_ret_90,bench_excess_90,ret_180,bench_ret_180,rf_180,excess_ret_180,bench_excess_180,gics_sector,gics_sub_industry
2020-11-10,Spouse,BYND,"Beyond Meat, Inc.",Stock,Sale (Full),"$50,001 - $100,000",--,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/a0010f4a-c31a-4824-8b6d-6399b3ccb6f0/,50001.0,100000.0,70711.38522190045,Democrat,0.11927042458943848,0.04074989614385016,0.00010710041085926214,0.11916332417857922,0.0406427957329909,0.096712293102035,0.10294370297767785,0.00032133564530023584,0.09639095745673476,0.10262236733237762,-0.018478562903078255,0.23966225904357596,0.0006427745471973001,-0.019121337450275555,0.23901948449637866,Other,Other
2020-11-16,Spouse,BA,The Boeing Company,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/,15001.0,50000.0,27387.040730973473,Republican,0.07050397580426404,0.02898614233624075,8.925623552369366e-05,0.07041471956874035,0.028896886100717056,0.23774709400726124,0.09489625717807759,0.00026779260730913634,0.2374793013999521,0.09462846457076846,0.1360672399970868,0.2211773120883307,0.0005356569274987955,0.135531583069588,0.2206416551608319,Industrials,Aerospace & Defense
2020-11-16,Spouse,V,Visa Inc.,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/,15001.0,50000.0,27387.040730973473,Republican,0.026610030390378903,0.02898614233624075,8.925623552369366e-05,0.02652077415485521,0.028896886100717056,0.01007511499817726,0.09489625717807759,0.00026779260730913634,0.009807322390868123,0.09462846457076846,0.13273305440079053,0.2211773120883307,0.0005356569274987955,0.13219739747329173,0.2206416551608319,Financials,Transaction & Payment Processing Services
2020-11-24,Spouse,COST,Costco Wholesale Corporation,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/,15001.0,50000.0,27387.040730973473,Republican,-0.011946027093073575,0.05206291012763109,9.520454984257576e-05,-0.01204123164291615,0.051967705577788514,-0.03978026590682282,0.12228058178027146,0.0002856408421092471,-0.04006590674893207,0.12199494093816221,0.2032398891806182,0.22902234081425243,0.0005713632749091424,0.20266852590570905,0.2284509775393433,Consumer Staples,Consumer Staples Merchandise Retail
2020-11-04,Spouse,COST,Costco Wholesale Corporation,Stock,Sale (Full),"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/,15001.0,50000.0,27387.040730973473,Republican,0.010152712729420754,0.08103525654887545,9.877341455122313e-05,0.010053939314869531,0.08093648313432422,-0.10019475445818893,0.15411338220248672,0.0002963495131793614,-0.10049110397136829,0.15381703268930735,0.15933133245389564,0.2842680226568721,0.0005927868493926791,0.15873854560450296,0.28367523580747944,Consumer Staples,Consumer Staples Merchandise Retail
2020-11-09,Spouse,BA,The Boeing Company,Stock,Sale (Full),"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/,15001.0,50000.0,27387.040730973473,Republican,0.21978143418154206,0.03851852126901134,0.00010472131887362401,0.21967671286266843,0.03841379995013772,0.4007024691827503,0.10986905728506557,0.0003141968574336129,0.4003882723253167,0.10955486042763196,0.2914250897334365,0.24465565479333895,0.000628492434532335,0.29079659729890417,0.24402716235880662,Industrials,Aerospace & Defense
2020-11-04,Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Full),"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/,15001.0,50000.0,27387.040730973473,Republican,-0.03255400601870473,0.08103525654887545,9.877341455122313e-05,-0.03265277943325595,0.08093648313432422,-0.032219995718065664,0.15411338220248672,0.0002963495131793614,-0.032516345231245025,0.15381703268930735,0.39991526291833046,0.2842680226568721,0.0005927868493926791,0.3993224760689378,0.28367523580747944,Information Technology,Semiconductors
2020-11-17,Joint,W,Wayfair Inc.,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/,15001.0,50000.0,27387.040730973473,Republican,-0.055425416779536385,0.04059809389951119,9.520454984257576e-05,-0.05552062132937896,0.040502889349668614,0.32611056743598477,0.09669403404277488,0.0002856408421092471,0.3258249265938755,0.09640839320066563,0.10357236684718152,0.22911292703539865,0.0005713632749091424,0.10300100357227238,0.2285415637604895,Other,Other
2020-11-16,Spouse,DAL,"Delta Air Lines, Inc.",Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/,1001.0,15000.0,3874.9193539995126,Republican,0.06736826094671766,0.02898614233624075,8.925623552369366e-05,0.06727900471119397,0.028896886100717056,0.24526286763469574,0.09489625717807759,0.00026779260730913634,0.2449950750273866,0.09462846457076846,0.052368346309309644,0.2211773120883307,0.0005356569274987955,0.05183268938181085,0.2206416551608319,Industrials,Passenger Airlines
2020-11-10,Spouse,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/,1001.0,15000.0,3874.9193539995126,Republican,0.22123708820399157,0.04074989614385016,0.00010710041085926214,0.2211299877931323,0.0406427957329909,0.3280556726618753,0.10294370297767785,0.00032133564530023584,0.32773433701657506,0.10262236733237762,0.2386180350375271,0.23966225904357596,0.0006427745471973001,0.2379752604903298,0.23901948449637866,Communication Services,Movies & Entertainment
